pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
1788,502239,Trevor Cahill,1788,100.0,0.273,0.264,0.283,0.537,0.369,0.347,0.274,111,406,88.6,9.6,2212,86.0,85.59,191,805,973,-0.4,5.97,114,152,115,147,294,318,291
1781,615698,Cal Quantrill,1781,100.0,0.260,0.170,0.297,0.430,0.314,0.318,0.264,106,407,86.9,11.2,2035,90.4,90.30,193,864,909,-0.1,6.15,116,151,115,150,300,327,306
1780,607536,Kyle Freeland,1780,100.0,0.296,0.258,0.310,0.554,0.377,0.361,0.291,126,426,88.9,9.4,2173,89.0,89.65,182,853,916,0.7,6.41,108,153,115,144,309,330,305
1750,543548,Tommy Milone,1750,100.0,0.241,0.243,0.252,0.485,0.317,0.319,0.250,102,423,86.7,16.0,2056,82.4,81.71,187,818,924,-0.7,5.86,108,155,115,146,297,317,286
1729,282332,CC Sabathia,1729,100.0,0.265,0.246,0.294,0.512,0.356,0.311,0.242,112,422,86.4,14.4,2136,85.0,85.98,206,818,905,1.0,6.69,103,153,114,148,299,326,288
1689,571760,Andrew Heaney,1689,100.0,0.251,0.203,0.312,0.454,0.329,0.320,0.244,93,370,89.6,17.7,2448,87.8,86.81,256,818,861,-1.0,5.80,111,149,116,146,296,315,287
1671,592332,Kevin Gausman,1671,100.0,0.282,0.172,0.353,0.454,0.335,0.327,0.260,113,401,86.9,11.8,1981,89.4,89.18,266,880,779,-0.2,6.10,110,151,114,149,302,322,294
1668,605446,Dereck Rodriguez,1668,100.0,0.271,0.221,0.284,0.492,0.351,0.349,0.285,108,398,88.7,12.7,2134,86.2,86.77,158,751,903,0.6,6.47,110,151,114,147,296,325,294
1619,601713,Nick Pivetta,1619,100.0,0.278,0.238,0.313,0.516,0.363,0.349,0.271,103,370,88.6,10.6,2516,88.4,88.24,182,738,868,-0.2,6.26,111,150,116,150,298,324,294
1599,642547,Freddy Peralta,1599,100.0,0.257,0.201,0.343,0.457,0.337,0.309,0.232,87,339,88.7,17.4,2440,90.2,91.43,231,784,809,1.2,6.93,109,154,115,151,301,319,293
